MatchNo,FIFA_ID,Home,Away,Status,Score,HomeGoals,AwayGoals,ResultType,MatchTime,DecidedBy,Home90,Away90,HomeExtra,AwayExtra,HomePen,AwayPen,Winner,Loser
1,400021443,MEX,RSA,,2-0,2,0,1,98',REGULAR,2,0,—,—,,,MEX,RSA
2,400021441,KOR,CZE,,2-1,2,1,1,97',REGULAR,2,1,—,—,,,KOR,CZE
3,400021449,CAN,BIH,,1-1,1,1,1,97',REGULAR,1,1,—,—,,,,
4,400021458,USA,PAR,,4-1,4,1,1,99',REGULAR,4,1,—,—,,,USA,PAR
5,400021447,QAT,SUI,,1-1,1,1,1,98',REGULAR,1,1,—,—,,,,
6,400021456,BRA,MAR,,1-1,1,1,1,101',REGULAR,1,1,—,—,,,,
7,400021453,HAI,SCO,,0-1,0,1,1,99',REGULAR,0,1,—,—,,,SCO,HAI
8,400021463,AUS,TUR,,2-0,2,0,1,97',REGULAR,2,0,—,—,,,AUS,TUR
9,400021464,GER,CUW,,7-1,7,1,1,96',REGULAR,7,1,—,—,,,GER,CUW
10,400021470,NED,JPN,,2-2,2,2,1,97',REGULAR,2,2,—,—,,,,
11,400021467,CIV,ECU,,1-0,1,0,1,99',REGULAR,1,0,—,—,,,CIV,ECU
12,400021474,SWE,TUN,,5-1,5,1,1,97',REGULAR,5,1,—,—,,,SWE,TUN
13,400021482,ESP,CPV,,0-0,0,0,1,96',REGULAR,0,0,—,—,,,,
14,400021478,BEL,EGY,,1-1,1,1,1,96',REGULAR,1,1,—,—,,,,
15,400021486,KSA,URU,,1-1,1,1,1,99',REGULAR,1,1,—,—,,,,
16,400021476,IRN,NZL,,2-2,2,2,1,96',REGULAR,2,2,—,—,,,,
17,400021490,FRA,SEN,,3-1,3,1,1,100',REGULAR,3,1,—,—,,,FRA,SEN
18,400021488,IRQ,NOR,,1-4,1,4,1,98',REGULAR,1,4,—,—,,,NOR,IRQ
19,400021496,ARG,ALG,,3-0,3,0,1,97',REGULAR,3,0,—,—,,,ARG,ALG
20,400021498,AUT,JOR,,3-1,3,1,1,103',REGULAR,3,1,—,—,,,AUT,JOR
21,400021502,POR,COD,,1-1,1,1,1,95',REGULAR,1,1,—,—,,,,
22,400021507,ENG,CRO,,4-2,4,2,1,97',REGULAR,4,2,—,—,,,ENG,CRO
23,400021510,GHA,PAN,,1-0,1,0,1,102',REGULAR,1,0,—,—,,,GHA,PAN
24,400021504,UZB,COL,,1-3,1,3,1,101',REGULAR,1,3,—,—,,,COL,UZB
25,400021440,CZE,RSA,,1-1,1,1,1,98',REGULAR,1,1,—,—,,,,
26,400021446,SUI,BIH,,4-1,4,1,1,98',REGULAR,4,1,—,—,,,SUI,BIH
