MatchNo,Group,Home,Away,Date,City,Stadium
1,A,MEX,RSA,2026-06-11T19:00:00Z,Mexico City,Mexico City Stadium
2,A,KOR,CZE,2026-06-12T02:00:00Z,Guadalajara,Guadalajara Stadium
3,B,CAN,BIH,2026-06-12T19:00:00Z,Toronto,Toronto Stadium
4,D,USA,PAR,2026-06-13T01:00:00Z,Los Angeles,Los Angeles Stadium
5,B,QAT,SUI,2026-06-13T19:00:00Z,San Francisco Bay Area,San Francisco Bay Area Stadium
6,C,BRA,MAR,2026-06-13T22:00:00Z,New Jersey,New York/New Jersey Stadium
7,C,HAI,SCO,2026-06-14T01:00:00Z,Boston,Boston Stadium
8,D,AUS,TUR,2026-06-14T04:00:00Z,Vancouver,BC Place Vancouver
9,E,GER,CUW,2026-06-14T17:00:00Z,Houston,Houston Stadium
10,F,NED,JPN,2026-06-14T20:00:00Z,Dallas,Dallas Stadium
11,E,CIV,ECU,2026-06-14T23:00:00Z,Philadelphia,Philadelphia Stadium
12,F,SWE,TUN,2026-06-15T02:00:00Z,Monterrey,Monterrey Stadium
13,H,ESP,CPV,2026-06-15T16:00:00Z,Atlanta,Atlanta Stadium
14,G,BEL,EGY,2026-06-15T19:00:00Z,Seattle,Seattle Stadium
15,H,KSA,URU,2026-06-15T22:00:00Z,Miami,Miami Stadium
16,G,IRN,NZL,2026-06-16T01:00:00Z,Los Angeles,Los Angeles Stadium
17,I,FRA,SEN,2026-06-16T19:00:00Z,New Jersey,New York/New Jersey Stadium
18,I,IRQ,NOR,2026-06-16T22:00:00Z,Boston,Boston Stadium
19,J,ARG,ALG,2026-06-17T01:00:00Z,Kansas City,Kansas City Stadium
20,J,AUT,JOR,2026-06-17T04:00:00Z,San Francisco Bay Area,San Francisco Bay Area Stadium
21,K,POR,COD,2026-06-17T17:00:00Z,Houston,Houston Stadium
22,L,ENG,CRO,2026-06-17T20:00:00Z,Dallas,Dallas Stadium
23,L,GHA,PAN,2026-06-17T23:00:00Z,Toronto,Toronto Stadium
24,K,UZB,COL,2026-06-18T02:00:00Z,Mexico City,Mexico City Stadium
25,A,CZE,RSA,2026-06-18T16:00:00Z,Atlanta,Atlanta Stadium
26,B,SUI,BIH,2026-06-18T19:00:00Z,Los Angeles,Los Angeles Stadium
27,B,CAN,QAT,2026-06-18T22:00:00Z,Vancouver,BC Place Vancouver
28,A,MEX,KOR,2026-06-19T01:00:00Z,Guadalajara,Guadalajara Stadium
29,D,USA,AUS,2026-06-19T19:00:00Z,Seattle,Seattle Stadium
30,C,SCO,MAR,2026-06-19T22:00:00Z,Boston,Boston Stadium
31,C,BRA,HAI,2026-06-20T00:30:00Z,Philadelphia,Philadelphia Stadium
32,D,TUR,PAR,2026-06-20T03:00:00Z,San Francisco Bay Area,San Francisco Bay Area Stadium
33,F,NED,SWE,2026-06-20T17:00:00Z,Houston,Houston Stadium
34,E,GER,CIV,2026-06-20T20:00:00Z,Toronto,Toronto Stadium
35,E,ECU,CUW,2026-06-21T00:00:00Z,Kansas City,Kansas City Stadium
36,F,TUN,JPN,2026-06-21T04:00:00Z,Monterrey,Monterrey Stadium
37,H,ESP,KSA,2026-06-21T16:00:00Z,Atlanta,Atlanta Stadium
38,G,BEL,IRN,2026-06-21T19:00:00Z,Los Angeles,Los Angeles Stadium
39,H,URU,CPV,2026-06-21T22:00:00Z,Miami,Miami Stadium
40,G,NZL,EGY,2026-06-22T01:00:00Z,Vancouver,BC Place Vancouver
41,J,ARG,AUT,2026-06-22T17:00:00Z,Dallas,Dallas Stadium
