MatchNo,FIFA_ID,Group,Home,Away,UTCDateTime,Country,City,Stadium
1,400021443,A,MEX,RSA,2026-06-11T19:00:00Z,,Mexico City,Mexico City Stadium
2,400021441,A,KOR,CZE,2026-06-12T02:00:00Z,,Guadalajara,Guadalajara Stadium
3,400021449,B,CAN,BIH,2026-06-12T19:00:00Z,,Toronto,Toronto Stadium
4,400021458,D,USA,PAR,2026-06-13T01:00:00Z,,Los Angeles,Los Angeles Stadium
5,400021447,B,QAT,SUI,2026-06-13T19:00:00Z,,San Francisco Bay Area,San Francisco Bay Area Stadium
6,400021456,C,BRA,MAR,2026-06-13T22:00:00Z,,New Jersey,New York/New Jersey Stadium
7,400021453,C,HAI,SCO,2026-06-14T01:00:00Z,,Boston,Boston Stadium
8,400021463,D,AUS,TUR,2026-06-14T04:00:00Z,,Vancouver,BC Place Vancouver
9,400021464,E,GER,CUW,2026-06-14T17:00:00Z,,Houston,Houston Stadium
10,400021470,F,NED,JPN,2026-06-14T20:00:00Z,,Dallas,Dallas Stadium
11,400021467,E,CIV,ECU,2026-06-14T23:00:00Z,,Philadelphia,Philadelphia Stadium
12,400021474,F,SWE,TUN,2026-06-15T02:00:00Z,,Monterrey,Monterrey Stadium
13,400021482,H,ESP,CPV,2026-06-15T16:00:00Z,,Atlanta,Atlanta Stadium
14,400021478,G,BEL,EGY,2026-06-15T19:00:00Z,,Seattle,Seattle Stadium
15,400021486,H,KSA,URU,2026-06-15T22:00:00Z,,Miami,Miami Stadium
16,400021476,G,IRN,NZL,2026-06-16T01:00:00Z,,Los Angeles,Los Angeles Stadium
17,400021490,I,FRA,SEN,2026-06-16T19:00:00Z,,New Jersey,New York/New Jersey Stadium
18,400021488,I,IRQ,NOR,2026-06-16T22:00:00Z,,Boston,Boston Stadium
19,400021496,J,ARG,ALG,2026-06-17T01:00:00Z,,Kansas City,Kansas City Stadium
20,400021498,J,AUT,JOR,2026-06-17T04:00:00Z,,San Francisco Bay Area,San Francisco Bay Area Stadium
21,400021502,K,POR,COD,2026-06-17T17:00:00Z,,Houston,Houston Stadium
22,400021507,L,ENG,CRO,2026-06-17T20:00:00Z,,Dallas,Dallas Stadium
23,400021510,L,GHA,PAN,2026-06-17T23:00:00Z,,Toronto,Toronto Stadium
24,400021504,K,UZB,COL,2026-06-18T02:00:00Z,,Mexico City,Mexico City Stadium
25,400021440,A,CZE,RSA,2026-06-18T16:00:00Z,,Atlanta,Atlanta Stadium
26,400021446,B,SUI,BIH,2026-06-18T19:00:00Z,,Los Angeles,Los Angeles Stadium
27,400021450,B,CAN,QAT,2026-06-18T22:00:00Z,,Vancouver,BC Place Vancouver
28,400021442,A,MEX,KOR,2026-06-19T01:00:00Z,,Guadalajara,Guadalajara Stadium
29,400021462,D,USA,AUS,2026-06-19T19:00:00Z,,Seattle,Seattle Stadium
30,400021454,C,SCO,MAR,2026-06-19T22:00:00Z,,Boston,Boston Stadium
31,400021457,C,BRA,HAI,2026-06-20T00:30:00Z,,Philadelphia,Philadelphia Stadium
32,400021460,D,TUR,PAR,2026-06-20T03:00:00Z,,San Francisco Bay Area,San Francisco Bay Area Stadium
33,400021472,F,NED,SWE,2026-06-20T17:00:00Z,,Houston,Houston Stadium
