DateTimeUTC,MatchNo,OldScore,NewScore
2026-06-18 13:18:32 UTC,1,blank,2-0
2026-06-18 13:18:32 UTC,2,blank,2-1
2026-06-18 13:18:32 UTC,3,blank,1-1
2026-06-18 13:18:32 UTC,4,blank,4-1
2026-06-18 13:18:32 UTC,5,blank,0-1
2026-06-18 13:18:32 UTC,6,blank,2-0
2026-06-18 13:18:32 UTC,7,blank,1-1
2026-06-18 13:18:32 UTC,8,blank,1-1
2026-06-18 13:18:32 UTC,9,blank,1-0
2026-06-18 13:18:32 UTC,10,blank,7-1
2026-06-18 13:18:32 UTC,11,blank,2-2
2026-06-18 13:18:32 UTC,12,blank,5-1
2026-06-18 13:18:32 UTC,13,blank,1-1
2026-06-18 13:18:32 UTC,14,blank,0-0
2026-06-18 13:18:32 UTC,15,blank,2-2
2026-06-18 13:18:32 UTC,16,blank,1-1
2026-06-18 13:18:32 UTC,17,blank,3-1
2026-06-18 13:18:32 UTC,18,blank,1-4
2026-06-18 13:18:32 UTC,19,blank,3-0
2026-06-18 13:18:32 UTC,20,blank,3-1
2026-06-18 13:18:32 UTC,21,1-1,1-0
2026-06-18 13:18:32 UTC,23,1-0,1-1
2026-06-18 13:27:22 UTC,21,1-0,1-1
2026-06-18 13:27:22 UTC,23,1-1,1-0
2026-06-18 14:29:56 UTC,21,1-1,1-0
2026-06-18 14:29:56 UTC,23,1-0,1-1
2026-06-19 00:16:22 UTC,25,blank,1-1
2026-06-19 00:16:22 UTC,26,blank,4-1
2026-06-19 00:16:22 UTC,27,blank,6-0
2026-06-19 05:16:09 UTC,28,blank,1-0
2026-06-19 10:49:15 UTC,5,0-1,1-1
2026-06-19 10:49:15 UTC,6,2-0,1-1
2026-06-19 10:49:15 UTC,7,1-1,0-1
2026-06-19 10:49:15 UTC,8,1-1,2-0
2026-06-19 10:49:15 UTC,9,1-0,7-1
2026-06-19 10:49:15 UTC,10,7-1,2-2
2026-06-19 10:49:15 UTC,11,2-2,1-0
2026-06-19 10:49:15 UTC,13,1-1,0-0
2026-06-19 10:49:15 UTC,14,0-0,1-1
2026-06-19 10:49:15 UTC,15,2-2,1-1
2026-06-19 10:49:15 UTC,16,1-1,2-2
2026-06-19 10:49:15 UTC,21,1-0,1-1
2026-06-19 10:49:15 UTC,23,1-1,1-0
2026-06-19 22:15:55 UTC,29,blank,2-0
2026-06-19 22:15:55 UTC,30,blank,0-1
2026-06-20 12:09:19 UTC,31,blank,3-0
2026-06-20 12:09:19 UTC,32,blank,0-1
2026-06-20 22:52:21 UTC,33,blank,5-1
2026-06-20 22:52:21 UTC,34,blank,2-1
2026-06-21 12:23:58 UTC,35,blank,0-0
2026-06-21 12:23:58 UTC,36,blank,0-4
2026-06-21 22:50:08 UTC,37,blank,4-0
2026-06-21 22:50:08 UTC,38,blank,0-0
2026-06-21 22:50:08 UTC,39,blank,1-1
2026-06-22 18:53:51 UTC,39,1-1,2-2
2026-06-22 18:53:51 UTC,40,blank,1-3
2026-06-22 18:53:51 UTC,41,blank,1-0
2026-06-22 23:52:37 UTC,41,1-0,2-0
2026-06-22 23:52:37 UTC,42,blank,1-0
2026-06-23 14:04:20 UTC,42,1-0,3-0
2026-06-23 14:04:20 UTC,43,blank,3-2
2026-06-23 14:04:20 UTC,44,blank,1-2
2026-06-23 22:54:25 UTC,45,blank,5-0
2026-06-23 22:54:25 UTC,46,blank,0-0
2026-06-24 06:36:30 UTC,47,blank,0-1
2026-06-24 06:36:30 UTC,48,blank,1-0
2026-06-24 22:56:11 UTC,49,blank,3-1
2026-06-24 22:56:11 UTC,50,blank,2-1
2026-06-24 22:56:11 UTC,51,blank,2-2
2026-06-24 22:56:11 UTC,52,blank,0-2
2026-06-25 06:22:25 UTC,51,2-2,4-2
2026-06-25 06:22:25 UTC,52,0-2,0-3
2026-06-25 06:22:25 UTC,53,blank,1-0
2026-06-25 06:22:25 UTC,54,blank,0-3
2026-06-25 23:55:29 UTC,55,blank,0-2
2026-06-25 23:55:29 UTC,56,blank,2-1
2026-06-25 23:55:29 UTC,57,blank,0-2
2026-06-25 23:55:29 UTC,58,blank,0-0
2026-06-26 12:31:58 UTC,57,0-2,1-3
2026-06-26 12:31:58 UTC,58,0-0,1-1
2026-06-26 12:31:58 UTC,59,blank,0-0
2026-06-26 12:31:58 UTC,60,blank,3-2
2026-06-26 22:55:29 UTC,61,blank,5-0
2026-06-26 22:55:29 UTC,62,blank,1-4
2026-06-27 11:11:57 UTC,63,blank,0-1
2026-06-27 11:11:57 UTC,64,blank,0-0
2026-06-27 11:11:57 UTC,65,blank,1-5
2026-06-27 11:11:57 UTC,66,blank,1-1
2026-06-27 22:42:01 UTC,67,blank,0-2
2026-06-27 22:42:01 UTC,68,blank,1-1
2026-06-28 11:23:50 UTC,68,1-1,2-1
2026-06-28 11:23:50 UTC,69,blank,3-1
2026-06-28 11:23:50 UTC,70,blank,0-0
2026-06-28 11:23:50 UTC,71,blank,3-3
2026-06-28 11:23:50 UTC,72,blank,1-3
2026-06-28 22:42:15 UTC,73,blank,0-1
2026-06-29 22:39:57 UTC,74,blank,2-1
2026-06-29 22:39:57 UTC,75,blank,1-1
2026-06-30 12:29:31 UTC,76,blank,1-1
2026-06-30 23:43:01 UTC,77,blank,1-2
2026-06-30 23:43:01 UTC,78,blank,3-0
2026-07-01 13:43:17 UTC,79,blank,2-0
2026-07-01 22:57:26 UTC,80,blank,2-1
2026-07-01 22:57:26 UTC,81,blank,3-2
2026-07-02 12:28:41 UTC,82,blank,2-0
