MatchNo,FIFA_ID,Home,Away,Status,Score,HomeGoals,AwayGoals,Home90,Away90,HomeExtra,AwayExtra,HomePen,AwayPen
1,400021443,MEX,RSA,,2-0,2,0,2,0,—,—,,
2,400021441,KOR,CZE,,2-1,2,1,2,1,—,—,,
3,400021449,CAN,BIH,,1-1,1,1,1,1,—,—,,
4,400021458,USA,PAR,,4-1,4,1,4,1,—,—,,
5,400021447,QAT,SUI,,1-1,1,1,1,1,—,—,,
6,400021456,BRA,MAR,,1-1,1,1,1,1,—,—,,
7,400021453,HAI,SCO,,0-1,0,1,0,1,—,—,,
8,400021463,AUS,TUR,,2-0,2,0,2,0,—,—,,
9,400021464,GER,CUW,,7-1,7,1,7,1,—,—,,
10,400021470,NED,JPN,,2-2,2,2,2,2,—,—,,
11,400021467,CIV,ECU,,1-0,1,0,1,0,—,—,,
12,400021474,SWE,TUN,,5-1,5,1,5,1,—,—,,
13,400021482,ESP,CPV,,0-0,0,0,0,0,—,—,,
14,400021478,BEL,EGY,,1-1,1,1,1,1,—,—,,
15,400021486,KSA,URU,,1-1,1,1,1,1,—,—,,
16,400021476,IRN,NZL,,2-2,2,2,2,2,—,—,,
17,400021490,FRA,SEN,,3-1,3,1,3,1,—,—,,
18,400021488,IRQ,NOR,,1-4,1,4,1,4,—,—,,
19,400021496,ARG,ALG,,3-0,3,0,3,0,—,—,,
20,400021498,AUT,JOR,,3-1,3,1,3,1,—,—,,
21,400021502,POR,COD,,1-1,1,1,1,1,—,—,,
22,400021507,ENG,CRO,,4-2,4,2,4,2,—,—,,
23,400021510,GHA,PAN,,1-0,1,0,1,0,—,—,,
24,400021504,UZB,COL,,1-3,1,3,1,3,—,—,,
25,400021440,CZE,RSA,,1-1,1,1,1,1,—,—,,
26,400021446,SUI,BIH,,4-1,4,1,4,1,—,—,,
27,400021450,CAN,QAT,,6-0,6,0,6,0,—,—,,
28,400021442,MEX,KOR,,1-0,1,0,1,0,—,—,,
29,400021462,USA,AUS,,2-0,2,0,2,0,—,—,,
